Results
Data from Matlab    Data from Simulation
00352               00352               TRUE      
00391               00391               TRUE      
00354               00354               TRUE      
002FC               002FC               TRUE      
002FE               002FE               TRUE      
002B0               002B0               TRUE      
00364               00364               TRUE      
00275               00275               TRUE      
0035B               0035B               TRUE      
00350               00350               TRUE      
002B6               002B6               TRUE      
00331               00331               TRUE      
002E5               002E5               TRUE      
002FD               002FD               TRUE      
0030D               0030D               TRUE      
002BE               002BE               TRUE      
002DD               002DD               TRUE      
0022F               0022F               TRUE      
0028E               0028E               TRUE      
002B1               002B1               TRUE      
001EE               001EE               TRUE      
002FE               002FE               TRUE      
001E3               001E3               TRUE      
0026D               0026D               TRUE      
002C7               002C7               TRUE      
00266               00266               TRUE      
002DB               002DB               TRUE      
00228               00228               TRUE      
002AD               002AD               TRUE      
0026F               0026F               TRUE      
00284               00284               TRUE      
002C8               002C8               TRUE      
0027D               0027D               TRUE      
002CE               002CE               TRUE      
00298               00298               TRUE      
00328               00328               TRUE      
00282               00282               TRUE      
00258               00258               TRUE      
002B8               002B8               TRUE      
00208               00208               TRUE      
00269               00269               TRUE      
00282               00282               TRUE      
00239               00239               TRUE      
00283               00283               TRUE      
002B5               002B5               TRUE      
002B9               002B9               TRUE      
002EC               002EC               TRUE      
0030F               0030F               TRUE      
002C9               002C9               TRUE      
00292               00292               TRUE      
00345               00345               TRUE      
0034D               0034D               TRUE      
0025D               0025D               TRUE      
00365               00365               TRUE      
00216               00216               TRUE      
00313               00313               TRUE      
00358               00358               TRUE      
00297               00297               TRUE      
00396               00396               TRUE      
00279               00279               TRUE      
00300               00300               TRUE      
00291               00291               TRUE      
002F0               002F0               TRUE      
0035E               0035E               TRUE      
002CA               002CA               TRUE      
002D3               002D3               TRUE      
0031F               0031F               TRUE      
002F8               002F8               TRUE      
00268               00268               TRUE      
002E3               002E3               TRUE      
0030B               0030B               TRUE      
00260               00260               TRUE      
00314               00314               TRUE      
002CD               002CD               TRUE      
00297               00297               TRUE      
0032D               0032D               TRUE      
002D6               002D6               TRUE      
0028C               0028C               TRUE      
00332               00332               TRUE      
00240               00240               TRUE      
00228               00228               TRUE      
001A9               001A9               TRUE      
0025C               0025C               TRUE      
0029F               0029F               TRUE      
00222               00222               TRUE      
00251               00251               TRUE      
00193               00193               TRUE      
0026C               0026C               TRUE      
00227               00227               TRUE      
00205               00205               TRUE      
002A9               002A9               TRUE      
00244               00244               TRUE      
001E7               001E7               TRUE      
001D3               001D3               TRUE      
00245               00245               TRUE      
00248               00248               TRUE      
0025D               0025D               TRUE      
00207               00207               TRUE      
00278               00278               TRUE      
00289               00289               TRUE      
0020D               0020D               TRUE      
00246               00246               TRUE      
00253               00253               TRUE      
001B5               001B5               TRUE      
0025D               0025D               TRUE      
0025E               0025E               TRUE      
001F2               001F2               TRUE      
00273               00273               TRUE      
001B1               001B1               TRUE      
0025A               0025A               TRUE      
0029A               0029A               TRUE      
002C0               002C0               TRUE      
002CE               002CE               TRUE      
00244               00244               TRUE      
0032D               0032D               TRUE      
00327               00327               TRUE      
0027D               0027D               TRUE      
00371               00371               TRUE      
0021F               0021F               TRUE      
0035E               0035E               TRUE      
00349               00349               TRUE      
00242               00242               TRUE      
0038B               0038B               TRUE      
0029B               0029B               TRUE      
002EA               002EA               TRUE      
00258               00258               TRUE      
00310               00310               TRUE      
0039B               0039B               TRUE      
002C3               002C3               TRUE      
002F6               002F6               TRUE      
00300               00300               TRUE      
002DC               002DC               TRUE      
002C8               002C8               TRUE      
002FA               002FA               TRUE      
0031C               0031C               TRUE      
002C1               002C1               TRUE      
00297               00297               TRUE      
002F3               002F3               TRUE      
00257               00257               TRUE      
0032F               0032F               TRUE      
002D6               002D6               TRUE      
002AB               002AB               TRUE      
0032E               0032E               TRUE      
0025E               0025E               TRUE      
00245               00245               TRUE      
001EE               001EE               TRUE      
00291               00291               TRUE      
002B1               002B1               TRUE      
001DD               001DD               TRUE      
002AF               002AF               TRUE      
00195               00195               TRUE      
00282               00282               TRUE      
002B7               002B7               TRUE      
0022C               0022C               TRUE      
00309               00309               TRUE      
00232               00232               TRUE      
00265               00265               TRUE      
00220               00220               TRUE      
0026E               0026E               TRUE      
002AA               002AA               TRUE      
00210               00210               TRUE      
00283               00283               TRUE      
002BE               002BE               TRUE      
00281               00281               TRUE      
0026C               0026C               TRUE      
00222               00222               TRUE      
0029E               0029E               TRUE      
001E3               001E3               TRUE      
00262               00262               TRUE      
0022C               0022C               TRUE      
00217               00217               TRUE      
002C6               002C6               TRUE      
00206               00206               TRUE      
002C2               002C2               TRUE      
002A0               002A0               TRUE      
00268               00268               TRUE      
00277               00277               TRUE      
001E2               001E2               TRUE      
00261               00261               TRUE      
00296               00296               TRUE      
00215               00215               TRUE      
002AD               002AD               TRUE      
00149               00149               TRUE      
0021A               0021A               TRUE      
00283               00283               TRUE      
001CD               001CD               TRUE      
00295               00295               TRUE      
0026D               0026D               TRUE      
00263               00263               TRUE      
001D5               001D5               TRUE      
002B3               002B3               TRUE      
002EA               002EA               TRUE      
002CB               002CB               TRUE      
0025D               0025D               TRUE      
002E9               002E9               TRUE      
00293               00293               TRUE      
00232               00232               TRUE      
00201               00201               TRUE      
002D3               002D3               TRUE      
001DD               001DD               TRUE      
00287               00287               TRUE      
0028F               0028F               TRUE      
00234               00234               TRUE      
002B6               002B6               TRUE      
00254               00254               TRUE      
00277               00277               TRUE      
0029D               0029D               TRUE      
0026A               0026A               TRUE      
0024F               0024F               TRUE      
001F3               001F3               TRUE      
00282               00282               TRUE      
00270               00270               TRUE      
001B9               001B9               TRUE      
00265               00265               TRUE      
001D4               001D4               TRUE      
00259               00259               TRUE      
002B0               002B0               TRUE      
0024C               0024C               TRUE      
002D1               002D1               TRUE      
001B5               001B5               TRUE      
0026E               0026E               TRUE      
00228               00228               TRUE      
00213               00213               TRUE      
00276               00276               TRUE      
00234               00234               TRUE      
00273               00273               TRUE      
00248               00248               TRUE      
0029B               0029B               TRUE      
00214               00214               TRUE      
00230               00230               TRUE      
00213               00213               TRUE      
001FD               001FD               TRUE      
001D8               001D8               TRUE      
00221               00221               TRUE      
001C6               001C6               TRUE      
00265               00265               TRUE      
00241               00241               TRUE      
00204               00204               TRUE      
002B3               002B3               TRUE      
00319               00319               TRUE      
002F8               002F8               TRUE      
002FA               002FA               TRUE      
0035F               0035F               TRUE      
003DE               003DE               TRUE      
0028E               0028E               TRUE      
003BF               003BF               TRUE      
00257               00257               TRUE      
00349               00349               TRUE      
003AE               003AE               TRUE      
0034F               0034F               TRUE      
0040E               0040E               TRUE      
00297               00297               TRUE      
00340               00340               TRUE      
0033E               0033E               TRUE      
0032E               0032E               TRUE      
00399               00399               TRUE      
00388               00388               TRUE      
0036C               0036C               TRUE      
00383               00383               TRUE      
00346               00346               TRUE      
00353               00353               TRUE      
00308               00308               TRUE      
00367               00367               TRUE      
00245               00245               TRUE      
0033D               0033D               TRUE      
0034D               0034D               TRUE      
002BE               002BE               TRUE      
00338               00338               TRUE      
00338               00338               TRUE      
00302               00302               TRUE      
0035E               0035E               TRUE      
00281               00281               TRUE      
0021B               0021B               TRUE      
00201               00201               TRUE      
00281               00281               TRUE      
002D7               002D7               TRUE      
00206               00206               TRUE      
002B9               002B9               TRUE      
00199               00199               TRUE      
00241               00241               TRUE      
00292               00292               TRUE      
001FE               001FE               TRUE      
002B7               002B7               TRUE      
0023F               0023F               TRUE      
0025E               0025E               TRUE      
001F7               001F7               TRUE      
00274               00274               TRUE      
0027C               0027C               TRUE      
00267               00267               TRUE      
00271               00271               TRUE      
002A1               002A1               TRUE      
0029C               0029C               TRUE      
00276               00276               TRUE      
00206               00206               TRUE      
00281               00281               TRUE      
001FB               001FB               TRUE      
0029C               0029C               TRUE      
00247               00247               TRUE      
00258               00258               TRUE      
0029B               0029B               TRUE      
0021D               0021D               TRUE      
00290               00290               TRUE      
002AD               002AD               TRUE      
00254               00254               TRUE      
00240               00240               TRUE      
00251               00251               TRUE      
00265               00265               TRUE      
002CF               002CF               TRUE      
001F6               001F6               TRUE      
0031D               0031D               TRUE      
00180               00180               TRUE      
0024F               0024F               TRUE      
002DF               002DF               TRUE      
0021D               0021D               TRUE      
00286               00286               TRUE      
00227               00227               TRUE      
0028F               0028F               TRUE      
00252               00252               TRUE      
00281               00281               TRUE      
002B2               002B2               TRUE      
00285               00285               TRUE      
00273               00273               TRUE      
0028D               0028D               TRUE      
00243               00243               TRUE      
00292               00292               TRUE      
0022F               0022F               TRUE      
002F1               002F1               TRUE      
001E3               001E3               TRUE      
002D6               002D6               TRUE      
00273               00273               TRUE      
0020C               0020C               TRUE      
00292               00292               TRUE      
00263               00263               TRUE      
0026A               0026A               TRUE      
002A5               002A5               TRUE      
002D2               002D2               TRUE      
002C2               002C2               TRUE      
00299               00299               TRUE      
002F2               002F2               TRUE      
0034D               0034D               TRUE      
00244               00244               TRUE      
00343               00343               TRUE      
001D6               001D6               TRUE      
00293               00293               TRUE      
00311               00311               TRUE      
002B0               002B0               TRUE      
0036A               0036A               TRUE      
0027B               0027B               TRUE      
00300               00300               TRUE      
002E1               002E1               TRUE      
002EF               002EF               TRUE      
002FA               002FA               TRUE      
002ED               002ED               TRUE      
002F7               002F7               TRUE      
002EC               002EC               TRUE      
00314               00314               TRUE      
00303               00303               TRUE      
002C3               002C3               TRUE      
002E6               002E6               TRUE      
00270               00270               TRUE      
00293               00293               TRUE      
002E5               002E5               TRUE      
00279               00279               TRUE      
00319               00319               TRUE      
002CB               002CB               TRUE      
002CC               002CC               TRUE      
0033A               0033A               TRUE      
00215               00215               TRUE      
0021C               0021C               TRUE      
001EC               001EC               TRUE      
00279               00279               TRUE      
002B6               002B6               TRUE      
0022B               0022B               TRUE      
002AD               002AD               TRUE      
001D5               001D5               TRUE      
00253               00253               TRUE      
0022C               0022C               TRUE      
00245               00245               TRUE      
002EE               002EE               TRUE      
001CC               001CC               TRUE      
0023F               0023F               TRUE      
00268               00268               TRUE      
00272               00272               TRUE      
0025E               0025E               TRUE      
00280               00280               TRUE      
00294               00294               TRUE      
00277               00277               TRUE      
0024E               0024E               TRUE      
002A3               002A3               TRUE      
0024F               0024F               TRUE      
00263               00263               TRUE      
0019F               0019F               TRUE      
00272               00272               TRUE      
002BB               002BB               TRUE      
001C0               001C0               TRUE      
00264               00264               TRUE      
001EB               001EB               TRUE      
002A3               002A3               TRUE      
00238               00238               TRUE      
002F3               002F3               TRUE      
002CC               002CC               TRUE      
0029C               0029C               TRUE      
00378               00378               TRUE      
003B8               003B8               TRUE      
00271               00271               TRUE      
00311               00311               TRUE      
002BB               002BB               TRUE      
0030C               0030C               TRUE      
002EC               002EC               TRUE      
00304               00304               TRUE      
003C0               003C0               TRUE      
002AC               002AC               TRUE      
002E1               002E1               TRUE      
002FE               002FE               TRUE      
002E7               002E7               TRUE      
002DD               002DD               TRUE      
00337               00337               TRUE      
0031D               0031D               TRUE      
00346               00346               TRUE      
00333               00333               TRUE      
002F7               002F7               TRUE      
002EF               002EF               TRUE      
00287               00287               TRUE      
00254               00254               TRUE      
0030E               0030E               TRUE      
002C9               002C9               TRUE      
002BF               002BF               TRUE      
0030C               0030C               TRUE      
00299               00299               TRUE      
0032A               0032A               TRUE      
0031D               0031D               TRUE      
00269               00269               TRUE      
0026E               0026E               TRUE      
00265               00265               TRUE      
002B4               002B4               TRUE      
002BB               002BB               TRUE      
001F4               001F4               TRUE      
00306               00306               TRUE      
001DD               001DD               TRUE      
002A4               002A4               TRUE      
0029B               0029B               TRUE      
00216               00216               TRUE      
00313               00313               TRUE      
0024C               0024C               TRUE      
0026E               0026E               TRUE      
002AD               002AD               TRUE      
002B2               002B2               TRUE      
002D8               002D8               TRUE      
00305               00305               TRUE      
002BE               002BE               TRUE      
002C4               002C4               TRUE      
002CD               002CD               TRUE      
00279               00279               TRUE      
0024C               0024C               TRUE      
002ED               002ED               TRUE      
0027D               0027D               TRUE      
00295               00295               TRUE      
002AD               002AD               TRUE      
0020B               0020B               TRUE      
00276               00276               TRUE      
002AA               002AA               TRUE      
00285               00285               TRUE      
0030D               0030D               TRUE      
00274               00274               TRUE      
001FE               001FE               TRUE      
001D6               001D6               TRUE      
00241               00241               TRUE      
00218               00218               TRUE      
00202               00202               TRUE      
00292               00292               TRUE      
001A5               001A5               TRUE      
001EA               001EA               TRUE      
00238               00238               TRUE      
001FD               001FD               TRUE      
00281               00281               TRUE      
001C1               001C1               TRUE      
00221               00221               TRUE      
00194               00194               TRUE      
0024E               0024E               TRUE      
0023C               0023C               TRUE      
001DE               001DE               TRUE      
00209               00209               TRUE      
00226               00226               TRUE      
0024C               0024C               TRUE      
00246               00246               TRUE      
0020C               0020C               TRUE      
0021E               0021E               TRUE      
0019F               0019F               TRUE      
0020D               0020D               TRUE      
001FD               001FD               TRUE      
00191               00191               TRUE      
00230               00230               TRUE      
00217               00217               TRUE      
00259               00259               TRUE      
00255               00255               TRUE      
00295               00295               TRUE      
0026B               0026B               TRUE      
00251               00251               TRUE      
002C1               002C1               TRUE      
0031A               0031A               TRUE      
00217               00217               TRUE      
00311               00311               TRUE      
00217               00217               TRUE      
00280               00280               TRUE      
002CC               002CC               TRUE      
002B8               002B8               TRUE      
00339               00339               TRUE      
001FD               001FD               TRUE      
002A1               002A1               TRUE      
002BA               002BA               TRUE      
002B5               002B5               TRUE      
00294               00294               TRUE      
002C3               002C3               TRUE      
002D9               002D9               TRUE      
002B6               002B6               TRUE      
002DD               002DD               TRUE      
002D2               002D2               TRUE      
0023E               0023E               TRUE      
0029F               0029F               TRUE      
00213               00213               TRUE      
00296               00296               TRUE      
00279               00279               TRUE      
00260               00260               TRUE      
002CE               002CE               TRUE      
0029C               0029C               TRUE      
002EE               002EE               TRUE      
002E1               002E1               TRUE      
002D0               002D0               TRUE      
002BD               002BD               TRUE      
00289               00289               TRUE      
00346               00346               TRUE      
00332               00332               TRUE      
00274               00274               TRUE      
003A8               003A8               TRUE      
0022D               0022D               TRUE      
002D4               002D4               TRUE      
00378               00378               TRUE      
002BD               002BD               TRUE      
0035B               0035B               TRUE      
0025A               0025A               TRUE      
002FB               002FB               TRUE      
002E5               002E5               TRUE      
0030B               0030B               TRUE      
00368               00368               TRUE      
0034F               0034F               TRUE      
002E8               002E8               TRUE      
002FB               002FB               TRUE      
002F7               002F7               TRUE      
002E9               002E9               TRUE      
002DD               002DD               TRUE      
00329               00329               TRUE      
0027E               0027E               TRUE      
00325               00325               TRUE      
00322               00322               TRUE      
00293               00293               TRUE      
00343               00343               TRUE      
002CA               002CA               TRUE      
002D5               002D5               TRUE      
00357               00357               TRUE      
00369               00369               TRUE      
00378               00378               TRUE      
0031D               0031D               TRUE      
003CB               003CB               TRUE      
003ED               003ED               TRUE      
002C7               002C7               TRUE      
003CE               003CE               TRUE      
00292               00292               TRUE      
002FC               002FC               TRUE      
0038A               0038A               TRUE      
002E9               002E9               TRUE      
00405               00405               TRUE      
002C9               002C9               TRUE      
00392               00392               TRUE      
00321               00321               TRUE      
00389               00389               TRUE      
003B4               003B4               TRUE      
00361               00361               TRUE      
00397               00397               TRUE      
003C3               003C3               TRUE      
003AF               003AF               TRUE      
00331               00331               TRUE      
002C3               002C3               TRUE      
0038F               0038F               TRUE      
002B1               002B1               TRUE      
00326               00326               TRUE      
0037D               0037D               TRUE      
002AE               002AE               TRUE      
003C6               003C6               TRUE      
00339               00339               TRUE      
00377               00377               TRUE      
00372               00372               TRUE      
0029C               0029C               TRUE      
00287               00287               TRUE      
001CE               001CE               TRUE      
00263               00263               TRUE      
002A0               002A0               TRUE      
001F2               001F2               TRUE      
